Participant,Start,End,Sentence
18.Pink.134,10:06.4,10:07.4,"""Lets put that nine"""
18.Pink.135,10:07.4,10:15.6,"""But for ten or eleven should we just put [unclear]"""
18.Pink.136,10:22.4,10:24.2,"""Compress kit"""
18.Pink.137,10:26.0,10:28.8,"""You said you had the whiskey"""
18.Blue.67,10:28.9,10:29.5,"""Uh what"""
18.Pink.138,10:29.5,10:30.7,"""For eleven"""
18.Blue.68,10:30.4,10:32.2,"""Eleven yeah I had whiskey"""
18.Blue.69,10:32.3,10:33.2,"""Eleven"""
18.Pink.139,10:34.0,10:37.1,"""I think that thats thats reasonable"""
18.Blue.70,10:41.4,10:42.4,"""What we have for ten"""
18.Blue.71,10:42.4,10:43.4,"""What did you put for ten"""
18.Pink.140,10:43.4,10:44.7,"""It was the can of shortening"""
18.Pink.141,10:47.5,10:50.3,"""But I dont think that ones really important"""
18.Orange.70,10:50.0,10:53.3,"""Do we have the sectional air map as last then"""
18.Pink.142,10:55.4,10:56.8,"""Yeah"""
18.Pink.143,10:59.4,11:03.2,"""Where should we rank the sectional air map then"""
18.Blue.72,11:04.5,11:05.2,"""Um"""
18.Pink.144,11:04.6,11:07.4,"""And we still dont have the compass down as well"""
18.Orange.71,11:07.9,11:08.4,"""Really"""
18.Blue.73,11:08.3,11:09.4,"""We dont have compass no """
18.Orange.72,11:10.1,11:15.2,"""I think its it should be one of the first ones cause were northwest of a small town"""
18.Orange.73,11:15.2,11:16.7,"""How are we going to go from there"""
18.Pink.145,11:17.0,11:18.2,"""Should we replace it"""
18.Pink.146,11:18.2,11:21.8,"""Should we switch it with the pistol"""
18.Pink.147,11:22.4,11:23.5,"""The pistols six"""
18.Pink.148,11:25.4,11:27.1,"""Cause we have one"""
18.Blue.74,11:27.1,11:28.8,"""Whats um"""
18.Orange.74,11:27.7,11:31.3,"""A pistol could be good for attracting attention and hunting"""
18.Pink.149,11:30.9,11:31.8,"""True"""
18.Pink.150,11:34.4,11:39.4,"""Um and we have two as the chocolate bar"""
18.Blue.75,11:37.8,11:40.2,"""Whats what do you have for five"""
18.Pink.151,11:40.2,11:41.8,"""For five we have the flashlight"""
18.Pink.152,11:43.1,11:44.2,"""Should we switch"""
18.Blue.76,11:44.5,11:48.2,"""Yeah I think we should switch the map with the flashlight """
18.Pink.153,11:45.0,11:46.0,"""I think we should switch"""
18.Blue.77,11:48.2,11:52.9,"""Cause I think I I think what this is is that its a map of your area"""
18.Pink.154,11:52.8,11:53.4,"""Yeah"""
18.Pink.155,11:54.1,11:54.9,"""Okay"""
18.Blue.78,11:56.1,11:59.7,"""Which could be kind of important"""
18.Pink.156,11:59.7,12:00.1,"""Yeah"""
18.Orange.75,11:59.8,12:04.4,"""Oh yeah its the air map so would be like the plane"""
18.Blue.79,12:04.5,12:05.2,"""Yeah"""
18.Orange.76,12:07.3,12:10.2,"""So we should put compass and the air map together"""
18.Blue.80,12:10.5,12:11.4,"""Yeah I think so"""
18.Blue.81,12:11.4,12:12.7,"""[unclear]"""
18.Pink.157,12:13.0,12:14.5,"""Okay so we have"""
18.Pink.158,12:16.0,12:18.0,"""So we have to switch up some stuff now"""
18.Pink.159,12:18.6,12:20.1,"""Compass has no number"""
18.Pink.160,12:20.1,12:21.5,"""Flashlight was five"""
